"Números de parqueos/aptos en alocubón en pared, todo costo",UND,RD$200.00,RD$169.49,,Andrés Castillo Señalizaciones
"Protectores de goma en columnas de parqueos, todo costo",UND,RD$610.00,RD$516.95,,Andrés Castillo Señalizaciones
"Letreros de altura máxima, todo costo",UND,"RD$2,500.00","RD$2,118.64",,Andrés Castillo Señalizaciones
"Espejos de entrada y salida parqueos, todo costo",UND,"RD$1,800.00","RD$1,525.42",,Andrés Castillo Señalizaciones
"Reductor de velocidad tipo policía acostado en goma, todo costo",ML,"RD$2,950.00","RD$2,500.00",,Andrés Castillo Señalizaciones
"Reductores de velocidad en aluminio tipo calderito, todo costo",UND,RD$472.00,RD$400.00,,Andrés Castillo Señalizaciones
"Delineadores Reflectivos (ojos de gato), todo costo",UND,RD$188.80,RD$160.00,,Andrés Castillo Señalizaciones
"Topes en metal y goma para furgones en rampas de carga, todo costo",UND,"RD$6,500.00","RD$5,508.47",,MINIBANNER CON LINK
"Paragomas para vehiculos livianos pintados, solo suministro 1.80m x 0.15m",UND,RD$944.00,RD$800.00,,MINIBANNER CON LINK
"Paragomas para vehiculos livianos sin pintar, solo suministro",UND,RD$944.00,RD$800.00,,MINIBANNER CON LINK
"Paragomas para vehiculos pesados pintados, solo suministro 1.80m x 0.20m",UND,"RD$1,180.00","RD$1,000.00",,MINIBANNER CON LINK
"Paragomas para vehiculos pesados sin pintar, solo suministro",UND,"RD$1,000.00",RD$847.46,,MINIBANNER CON LINK
"Muro New Jersey 2.40m x 0.85m pintado, solo suministro",UND,"RD$10,856.00","RD$9,200.00",,MINIBANNER CON LINK
"Muro New Jersey 2.40m x 0.85m sin pintar, solo suministro",UND,"RD$10,030.00","RD$8,500.00",,MINIBANNER CON LINK
"Murete (Divisiones en calles) 1.00m x 0.30m pintado, solo suministro",UND,"RD$2,124.00","RD$1,800.00",,MINIBANNER CON LINK
"Murete (Divisiones en calles) 1.00m x 0.30m sin pintar, solo suministro",UND,"RD$1,770.00","RD$1,500.00",,MINIBANNER CON LINK
"Ladrillos de hormigón 0.10m x 0.06m, suministro",M2,RD$118.00,RD$100.00,,MINIBANNER CON LINK
"Pavigrama, suministro",M2,RD$825.00,RD$699.15,,MINIBANNER CON LINK
,,,,,
COMBUSTIBLES Y ACEITES,,,,,
Gasolina regular,GL,RD$195.00,RD$195.00,,MINIBANNER CON LINK
Gasolina Premium,GL,RD$205.90,RD$205.90,,MINIBANNER CON LINK
Gasoil Regular,GL,RD$159.10,RD$159.10,,MINIBANNER CON LINK
Gasoil Premium,GL,RD$149.50,RD$149.50,,MINIBANNER CON LINK
Aceite 15W-40,QT,RD$350.00,RD$350.00,,MINIBANNER CON LINK
Aceite 10W-30,QT,RD$345.00,RD$345.00,,MINIBANNER CON LINK
,,,,,
DIVISAS,,,,,
Dólar US,UND,RD$58.56,RD$58.56,,MINIBANNER CON LINK
Euro EU,UND,RD$68.36,RD$68.36,,MINIBANNER CON LINK
,,,,,
TOPOGRAFIA - TODO COSTO,,,,,
Brigada Topográfica con Estación Total - Todo Costo,DIA,"RD$15,000.00","RD$15,000.00",,MINIBANNER CON LINK
Brigada Topográfica con Estación Total - Todo Costo,MES,"RD$185,000.00","RD$185,000.00",,MINIBANNER CON LINK
,,,,,
EQUIPOS PESADOS - ALQUILER**,,,,,
